year,agri_total_bln_uzs,crop_farming_bln_uzs,livestock_bln_uzs,growth_rate_pct,source
2010,1349.7,610.1,739.6,105.9,navstat.uz
2011,2024.4,913.6,1110.8,108.3,navstat.uz
2012,2484.7,1026.3,1458.4,106.2,navstat.uz
2013,2956.7,1185.7,1771.0,106.9,navstat.uz
2014,3556.7,1333.5,2223.2,105.9,navstat.uz
2015,4206.1,1711.7,2494.4,106.6,navstat.uz
2016,5034.7,2024.1,3010.6,106.1,navstat.uz
2017,6470.3,2769.1,3701.2,103.3,navstat.uz
2018,8299.8,3181.4,5118.4,102.1,navstat.uz
2019,9467.8,3442.1,6025.7,101.6,navstat.uz
2020,11309.7,3989.1,7320.6,103.3,navstat.uz
2021,14547.2,4963.2,9584.0,104.4,navstat.uz
2022,15151.7,5267.1,9884.6,103.8,navstat.uz
2023,18680.1,6810.2,11869.9,102.7,navstat.uz
2024,20769.6,7458.8,13310.8,104.6,navstat.uz
2025,23574.3,7318.0,16256.3,104.8,navstat.uz (preliminary)
